StateName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Alaska,$7.15,$7.25,$7.75,$7.75,$7.75,$7.75,$7.75,$8.75,$9.75,$9.80,$9.84
Arizona,$6.90,$7.25,$7.25,$7.35,$7.65,$7.80,$7.90,$8.05,$8.05,$10.00,$10.50
Arkansas,$6.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.50,$8.00,$8.50,$8.50
California,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$9.00,$9.00,$10.00,$10.50,$11.00
Colorado,$7.02,$7.28,$7.24,$7.36,$7.64,$7.78,$8.00,$8.23,$8.31,$9.30,$10.20
Connecticut,$7.65,$8.00,$8.25,$8.25,$8.25,$8.25,$8.70,$9.15,$9.60,$10.10,$10.10
Delaware,$7.15,$7.25,$7.25,$7.25,$7.25,$7.25,$7.75,$8.25,$8.25,$8.25,$8.25
District of Columbia,$7.55,$8.25,$8.25,$8.25,$8.25,$8.25,$9.50,$10.50,$11.50,$12.50,$13.25
Florida,$6.79,$7.25,$7.25,$7.31,$7.67,$7.79,$7.93,$8.05,$8.05,$8.10,$8.25
Georgia,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Hawaii,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.75,$8.50,$9.25,$10.10
Idaho,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Illinois,$7.75,$8.00,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25
Indiana,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Iowa,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Kansas,$6.55,$2.65,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Kentucky,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Louisiana,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Maine,$7.25,$7.25,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,$9.00,$10.00
Maryland,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$8.00,$8.75,$9.25,$10.10
Massachusetts,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$8.00,$9.00,$10.00,$11.00,$11.00
Michigan,$7.40,$7.40,$7.40,$7.40,$7.40,$7.40,$8.15,$8.15,$8.50,$8.90,$9.25
Minnesota,$6.15,$6.15,$6.15,$6.15,$6.15,$6.15,$8.00,$9.00,$9.50,$9.50,$9.65
Mississippi,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
Missouri,$6.65,$7.25,$7.25,$7.25,$7.25,$7.35,$7.50,$7.65,$7.65,$7.70,$7.85
Montana,$6.55,$7.25,$7.25,$7.35,$7.65,$7.65,$7.90,$8.05,$8.05,$8.15,$8.30
Nebraska,$6.55,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$8.00,$9.00,$9.00,$9.00
Nevada,$6.85,$7.55,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25,$8.25
New Hampshire,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25
New Jersey,$7.15,$7.25,$7.25,$7.25,$7.25,$7.25,$8.25,$8.38,$8.38,$8.44,$8.60
New Mexico,$6.50,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,$7.50,TBD
New York,$7.15,$7.25,$7.25,$7.25,$7.25,$7.25,$8.00,$8.75,$9.00,$9.70,$10.40
